001,0:44.111,0:47.743
002,0:46.233,1:1.948
003,0:49.408,1:19.089
004,0:53.582,1:37.694
005,0:57.476,1:58.007
006,0:59.978,2:19.297
007,1:4.205,2:42.714
008,1:7.534,3:8.500
009,1:12.429,3:35.253
010,1:16.440,4:2.215
011,1:22.193,4:35.005
012,1:26.384,5:7.579
013,1:31.735,5:39.461
014,1:37.106,6:14.235
015,1:43.516,6:51.390
016,3:5.080,12:35.819
017,3:14.160,13:38.127
018,5:8.234,20:29.317
019,5:19.677,21:59.982
020,5:36.032,23:34.936
021,5:51.791,25:13.531
022,6:6.029,26:53.789
023,6:21.371,28:32.899
024,6:34.531,30:22.202
025,6:51.886,32:9.765
026,7:11.007,33:58.839
027,7:27.820,35:53.267
028,7:45.733,37:51.722
029,8:2.616,39:51.609
030,8:20.339,41:54.801
031,8:41.337,43:57.941
032,8:58.839,46:16.978
033,9:20.060,48:21.305
034,9:36.359,50:32.218
035,10:0.345,52:46.478
036,10:21.211,55:9.471
037,10:42.484,57:34.596
038,11:4.633,59:57.985
039,11:44.965,62:39.311
040,11:55.250,64:57.496
041,12:15.385,67:26.077
042,12:44.840,70:2.263
043,13:0.889,72:29.228
044,13:27.839,75:9.786
045,13:55.920,77:50.012
046,14:22.091,80:33.350
047,14:44.406,83:17.864
048,15:9.843,86:3.459
049,15:37.719,88:51.921
050,16:2.256,91:39.368
051,16:28.107,94:23.790
052,16:51.659,97:1.180
053,17:18.308,99:44.706
054,17:37.296,102:22.552
055,18:3.266,104:58.006
056,18:32.253,107:45.056
057,18:56.628,110:32.491
058,19:20.491,113:7.308
059,19:43.036,115:53.507
060,20:12.480,118:38.433
061,20:40.052,121:17.295
062,21:1.755,124:8.854
063,21:28.078,126:54.700
064,22:0.180,129:50.811
065,22:26.679,132:46.058
066,22:51.195,135:42.937
067,23:20.086,138:36.512
068,23:50.231,141:44.804
069,24:17.045,144:39.698
070,24:47.176,147:36.401
071,25:12.239,150:41.525
072,25:40.092,154:1.230
073,26:6.961,156:45.708
074,26:39.924,160:9.761
075,27:6.927,163:18.804
076,27:43.666,166:31.568
077,28:9.078,169:23.363
078,28:37.788,172:25.063
079,29:8.909,175:24.062
080,29:38.941,178:31.333
081,30:16.811,181:15.432
082,30:30.527,183:56.214
083,31:16.068,186:49.813
084,31:20.362,189:9.977
085,31:45.632,192:3.000
086,32:13.589,194:41.958
087,32:41.023,197:18.960
088,32:56.870,199:21.492
089,33:18.431,201:55.197
090,33:39.016,204:11.018
091,33:58.548,206:7.101
092,34:13.585,208:0.108
093,34:36.298,209:51.743
094,34:55.405,211:54.555
095,35:6.046,213:0.955
096,35:31.642,214:37.449
097,35:29.799,215:42.425
098,35:44.311,217:8.894
099,35:50.980,218:1.350
100,36:3.527,218:59.313
