001,1:34.951,1:18.197
002,1:35.369,1:20.521
003,1:35.670,1:22.121
004,1:36.140,1:25.357
005,1:35.742,1:27.973
006,1:36.737,1:33.830
007,1:36.330,1:35.946
008,1:38.119,1:43.110
009,1:39.659,1:49.135
010,1:42.235,1:57.647
011,1:44.050,2:5.496
012,1:45.823,2:16.345
013,1:47.916,2:28.165
014,1:50.853,2:41.770
015,1:53.775,2:56.527
016,2:56.198,4:14.160
017,3:2.997,4:36.389
018,4:36.061,6:29.324
019,4:42.396,6:55.654
020,4:47.315,7:23.232
021,4:51.184,7:49.685
022,4:58.115,8:20.475
023,5:3.659,8:51.605
024,5:19.635,9:40.284
025,5:18.730,10:11.658
026,5:25.431,10:48.465
027,5:32.556,11:33.775
028,5:41.681,12:21.278
029,5:49.796,13:10.581
030,5:58.860,14:2.405
031,6:9.227,14:59.624
032,6:17.013,15:55.740
033,6:29.658,16:57.656
034,6:37.537,18:0.176
035,6:51.631,19:11.292
036,7:4.199,20:25.961
037,7:32.282,21:54.242
038,7:28.651,22:55.590
039,7:42.169,24:14.431
040,7:55.082,25:37.408
041,8:7.508,26:57.153
042,8:24.015,28:21.550
043,8:47.146,29:54.760
044,8:51.536,31:13.553
045,9:10.503,32:45.511
046,9:26.479,34:22.709
047,9:41.233,35:56.727
048,9:59.224,37:37.241
049,10:17.181,39:16.939
050,10:37.287,40:55.425
051,10:45.788,42:26.707
052,11:0.429,44:0.625
053,11:17.664,45:33.643
054,11:30.227,47:7.617
055,11:49.292,48:50.031
056,12:4.769,50:22.237
057,12:21.836,52:7.255
058,12:35.237,53:43.845
059,12:52.844,55:27.872
060,13:9.530,57:10.290
061,13:31.642,58:55.161
062,13:47.005,60:39.471
063,14:4.432,62:29.030
064,14:29.314,64:30.314
065,14:46.250,66:21.129
066,15:6.515,68:24.493
067,15:25.333,70:19.708
068,15:46.114,72:22.663
069,16:4.120,74:37.236
070,16:31.966,76:46.244
071,17:5.446,79:14.197
072,17:10.455,81:21.173
073,17:36.946,83:30.885
074,17:57.734,85:53.154
075,18:22.627,88:23.771
076,18:51.305,90:55.605
077,19:19.219,93:29.139
078,19:40.647,95:24.482
079,20:3.085,97:45.083
080,20:36.873,100:5.911
081,20:53.195,102:0.539
082,21:5.979,104:4.262
083,21:31.555,106:9.238
084,21:45.614,108:3.261
085,22:9.644,110:15.037
086,22:32.514,112:15.889
087,22:47.749,114:14.736
088,23:6.854,116:6.003
089,23:25.477,118:0.487
090,23:47.351,120:0.502
091,24:4.954,121:35.940
092,24:15.358,123:8.254
093,24:33.932,124:35.455
094,24:44.718,125:46.748
095,24:57.873,126:59.700
096,25:8.699,128:11.293
097,25:16.869,129:3.092
098,25:29.874,130:7.700
099,25:31.067,130:48.258
100,25:43.177,131:42.094
